title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Sales and construction employees were exceptional,Eugene S.,Yes,2024-07-14,"Rio Verde, AZ",Not pleased with the quality of the finishes and appliances at this price point,4,4,4,3,5
Good quality and aftermarket service but poor experience with sales.,Anonymous,Yes,2024-07-12,"Missouri City, TX","We are very pleased with the house we bought and are overall satisfied with the quality of the construction and the responsiveness of the aftermarket team. Our inspector did not find any major issues, and Peyton was quick to fix them before closing. After we moved in, some minor things have come up and Carlos has helped us fix them promptly. Our buying process was not what we had expected, mainly due to the treatment we received from the sales agent Theary. All through, we felt as if we were asking her for a favor and received a push back on every single request. Luckily the people takingcare of things are different and have a customer centric approach.",4,5,4,4,5
Owners response,Rodney S.,Yes,2024-06-25,"Conroe, TX","I’m satisfied with the home. Didn’t care for the building experience. It was extremely stressful. I’m still dealing with issues from the build, having to turn in warranty request to get items corrected!",4,4,3,4,5
Shea homes,William M.,Yes,2024-05-24,"Seaside, CA",We`ve been very pleased with Shea,4,5,5,4,4
Return to VA,John D.,Yes,2024-05-17,"Front Royal, VA","I searched the Winchester VA area online for 55+ communities, including with Google Earth at street level. The latter was very little help because Trilogy east is still under construction. The Shea website for Lake Frederick was most helpful for previews and prices of models. Dan Wall was very helpful through the contract process. Sight and Sound failed me, my agent actually forgot to order my television equipment. Their Techs showed up and had no television to install.",4,4,5,4,4
Great purchase experience: simple and quickness,Shushan Z.,Yes,2024-05-07,"Huntington Beach, CA",The house has a good arrangement which is helpful to rent. I like it. Shushan,4,4,4,4,4
We bought a spec house and had a good experience.,Anonymous,Yes,2024-05-01,"San Tan Valley, AZ",We bought a spec house and had a good experience.,4,5,5,4,4
Construction supervisor Jeremi,Howard W.,Yes,2024-04-24,"Manvel, TX",The construction supervisor was very responsive to all issues during the building process.,4,4,5,4,5
Always a good experience so far.,Mary F.,Yes,2024-03-17,"Ventura, CA",the team was very helpful and informative.,4,4,4,4,4
working with crew in Del Sol,Karen W.,Yes,2024-02-29,"Ventura, CA",everyone has been great so far - Will responds immediately and does his best to solve problems as soon as possible - Jeanie and shannon are always available to help. great support and customer service so far!,4,4,5,5,5
"Del Sol, New Ventura Community",Anonymous,Yes,2024-02-13,"Ventura, CA","Pros: quality of work is good. Shea builds good solid homes. I think this is developing into a really good community. They have been responsive to issues, and they are fixing. The warranty specialist is super friendly, does a good job making his rounds and getting things fixed. Value for price is good for this area and only getting more expensive. Has a community pool and developing pocket parks. The folks in the model home offices are very nice friendly and helpful, even after you move in, they are there to assist if you have any questions. Has an HOA Cons: Water heater iselectric which is fine, but it is really noisy as the built in fan has to run for an hour or more every time you take a shower or use hot water. And the water heater is situated near the bedrooms or next to an office which will run at night or morning and makes it difficult to work or you have to have your bedroom door closed in order to relax in your room or sleep. Note that you cannot have a full salt soft water system installed which is tricky to keep your appliances and faucets clear from hard water deposits. You have to maintain and or eventually replace faucets which is really unfortunate. Would be nice if they could add sport courts such as pickle ball/tennis courts etc. as there are not many things to do in the area that are walking distance. Has an HOA I would give it 5 stars if it wasn't for the water Heater and not being able to set up a full salt soft water system.",4,4,4,4,4
Fairly pleased,Tod W.,Yes,2024-01-12,"Denver, NC","So the worst part of our experience was the design center. Shea only offered packages for designs. We have built numerous homes, and this was the worst experience. There were things we didn't want that came with the package. Home could have been cleaned a bit better. Painters were terrible with not using drop clothes, so LOTS and LOTS of white paint specs all over the wood floors.",4,4,5,3,4
Experience with Shea Home,Venkata J.,Yes,2024-01-09,"Conroe, TX",Overall experience from home purchasing to move was great.,4,4,5,4,5
Just a perfect second home....,David R.,Yes,2023-12-27,"Scottsdale, AZ","We had our house built during Covid and while were living in Illinois. We felt the communication with Mike, who was general superintendent for the project, was great. He kept us informed, answered the phone and our questions and always had a terrific attitude. When we got into finishes and punch list items, Conner was fantastic to work with. He was there almost immediately with the normal day to day issues that we asked to deal with and like Mike, always had a great attitude and a smile. This home is amazing and we couldn't be happier.",4,4,5,4,5
"Lorri, Victor and Tom",Anonymous,Yes,2023-12-21,"San Diego, CA","We had a great experience buying our first home with Shea! From the design team working with Lorri, to working with Tom and Victor, they are always responsive and here to help! Victor stops by often if we have a question and to check on us and we really appreciate that. We feel cared for and everyone we've worked with has felt like a friend!",4,4,5,3,5
Beautiful Home. Good Construction. Be careful with Design Phase of Project,Garry B.,Yes,2023-12-20,"Rio Verde, AZ","Shea builds a beautiful home with thoughtful layouts. Let me start with Kara. She was incredible to work with throughout the process. She always went above and beyond for us and helped us during the difficult emotional times of building a home. She is the gold standard for representing Shea Homes!!! Scott was out Field Manager. Like Kara, Scott was a G-d send. He was extremely communicative throughout the build. He always took our calls and responded to our texts. No ask was unimportant to Scott. If it was important to us, he looked into it and responded quickly. Scott had zeroblack holes. I never had to remind him a second time about anything throughout the 12 month build. His attention to detail was incredible. He would notice various things (ie tile not level, master bath accent tile appearance, and so many other details),that quite honestly, we may have missed, and he would proactively get them corrected until it met his high standards of workmanship. He always explained every detail of the house build so that we understood why certain aspects of the home are built the way they are (ie the attic insulation methodology). As I mentioned, no ask was too much for Scott. We had heard horror stories about other Site Directors which made us feel so incredibly fortunate to have Scott on our home. Like Kara, Scott is the Gold Standard and represents the Shea product to its highest level!!! We are also very thankful to have Steve as our Post-Close Warranty Specialist. Like Kara and Scott, Steve responds very quickly to anything we have and no ask is too big for Steve to handle. We look forward to working with Steve throughout our first year. Design was a total mess!!! The selection offerings were not up to par with the cost of the home and the designer we were assigned to had no idea of what options were truly available and made minimal suggestions. She also struggled immensely with using the design system and selection tools. She made numerous mistakes, that we had to fix after the close, that cost us over $10,000! She even got downright rude at times. The entire design process is extremely rushed and high pressure. They need to completely revamp their Design portion of the build. As a side note, I rated responsiveness to issues a 3 because of the design process not the warranty service. I would actually rate the Design responsiveness a 1 and the Sales, Construction and Warranty responsiveness a 5. Shea Homes did not seem to care, or be willing to assume any responsibility for what happened during design. Our designer was fired, but that does not help us in any way.",4,5,4,4,3
"Beautiful area with expensive, nicely designed homes",Anonymous,Yes,2023-12-20,"Bonney Lake, WA","Beautiful area of the state with expensive, nicely designed homes. Sizes and color schemes are great. Some things in the home could have been done better. The HOA is strict and not quick to respond. Looking forward to the clubhouse being built. Glad we have a Lifestyle Manager already in place.",4,4,5,3,4
My Shea New Home Review,Jo H.,Yes,2023-12-17,"Bonney Lake, WA",This was my first new construction purchase. It was a mix of experiences. My initial sales person disappeared. I learned she was gone via email and never felt that I had a single person that I could direct questions to after that. The most responsive person I dealt with was my Field Manager.,4,4,4,4,4
Melba,Debra H.,Yes,2023-12-06,"Las Vegas, NV",Very friendly and helpful people to work with,4,4,4,4,5
Overall Good Experience,Anonymous,Yes,2023-11-29,"San Tan Valley, AZ",Turnover of staff / reduction of staff and lack of communications is reason for 4 stars. Build process takes too long.,4,4,4,4,4
Good overall experience,John C.,Yes,2023-11-21,"Parker, CO","Overall was good experience. Sales team was responsive and helpful. Wish they had more options on some things like insulation between floors to reduce noise, option for high end appliances like Wolf, laminate on stairs to garage, frosted windows, and more. Had few minor issues when moving in, but most were addressed quickly. One thing was a pain and that was an issue with the front door lock. Shea said I had to work with vendor to get a replacement lock which was time consuming. I would have expected them to resolve it with the vendor.",4,4,5,4,5
Community Rep,P. G.,Yes,2023-11-15,"Las Vegas, NV","She was extremely helpful, always very friendly and got things done quickly.",4,4,5,3,4
SATISFIED WITH OUR HOME SO FAR!,Randy A.,Yes,2023-10-26,"Indio, CA",Everyone involved has been great to work with.,4,4,5,3,5
Quality home,Bob W.,Yes,2023-10-25,"Wickenburg, AZ",Enjoyed working with the Shea team. It wasn't perfect but they all worked together to provide a great new home for us .,4,4,4,4,5
Trilogy in Summerlin Buying Experience,Gregory A.,Yes,2023-10-18,"Las Vegas, NV","Overall, positive buying experience. Very responsive to issues.",4,4,4,4,5
The people at Shea were professional and courteous.,John R.,Yes,2023-10-10,"Seaside, CA","The Shea reps at the Enclave sales center were professional and helpful (Tamara and TJ). The experience at the Livermore design center was outstanding. Kristin was knowledgeable, professional and patient. The construction manager for my home, Dave, was courteous, professional and very accommodating. The Shea rep who did the walk through, Octavio, was outstanding and very responsive to my questions and concerns. I appreciate his help in everything he did, including the 30 day walk through. My primary complaint is that Shea homes is not very flexible in the options for their homes (for example,the use of hardwood on the stairs is not allowed), or making simple custom modifications (for example, widening a bedroom doorway for wheelchair access).",4,5,5,4,5
Trilogy Rio Verde AZ,Michael L.,Yes,2023-09-26,"Rio Verde, AZ","Special call out to the sales team, Liz and Laura- and our project manager Brian and warranty coordinator Lala off to a good start. Overall build is good, its definitely not custom, but we new that going into the build. The day we took possession, the painter a few hours before we arrived, dripped white paint all over the floor- and left the doors open in 119 degree heat, creating a massive amount of insects inside the home that took a month to get rid of them- that was definitely frustrating . Problem with original design center team, but Shea Homes stepped up and did the right thingeventually, but at the time, that was very disappointing that we had to go through that experience, what should have been an awesome time at the design center, we left feeling insulted and really frustrated. The community is beautiful, thoughtfully designed and well maintained by the HOA",4,4,4,4,5
Helpful when issues arose in fixing things.,Jerry C.,Yes,2023-09-19,"Kuna, ID",Should have done back yards for all homes not just the inventory homes that are not selling.,4,4,5,3,5
Overall good experience buying new home from Shea,Anonymous,Yes,2023-09-19,"San Marcos, CA","Overall was a positive experience from initial interactions all the way to closing. Shea team did job of keeping us updated along the way and were responsive to queries and clarifications, and we had pleasant interactions with entire team we were engaged with. Our closing walk through found mostly minor issues so that came as a good surprise. The workmanship while not perfect (we don't expect any home builder to be) certainly met our expectations for the most parts. Would recommend based on our experience so far.",4,4,4,4,4
Great construction manage - very well managed Jeremi T,Kevin B.,Yes,2023-08-11,"Manvel, TX",Great construction manage - very well managed,4,4,3,4,5
Homeowner,Anonymous,Yes,2023-07-09,"Nipomo, CA",We have had the pleasure of working with some very fine people that have listened to our issues and helped to resolve them.,4,4,4,4,5
Good experience,Patrick M.,Yes,2023-06-28,"Wickenburg, AZ","We closed and moved into our new home in April and have been pleased with the warranty follow up, general quality of the workmanship and the responsiveness of the entire sales and service team at Shea homes in Wickenburg.",4,4,4,4,4
Karen was great! Derek not so good,Nidhi S.,Yes,2023-06-22,"Tracy, CA","We loved working with Karen. We were hoping to finish the process with her. Derek filled in for her whenever Karen wasn’t available. This isn’t my first purchase, abd I have dealt with other builders and staff. Unfortunately didn’t have a great experience with Derek. Especially after closing, he was very cold, and wasn’t willing to help.",4,5,5,5,3
Good house. Would like more flexibility on options,Anonymous,Yes,2023-06-21,"Denver, NC","I think overall the house is pretty well-made. The walls are a little thin, however, and I would’ve liked more flexibility within my option package.",4,4,5,4,5
Experience,Nabil S.,Yes,2023-06-08,"Las Vegas, NV","I have not yet moved in so I can’t give a thorough review. I found Katie and Kirstie in Sales to be attentive and helpful. I found Mike and Rome equally attentive to resolving issues on punch list. After project completion, I feel value for price paid was insufficient. Processes to deal with upgrade installation have been problematic.",4,4,5,3,4
Pretty good,Anonymous,Yes,2023-06-07,"Phoenix, AZ","Closed on our home 2 months ago, was about 1 full year since groundbreaking started. Process was generally smooth, issues with sub-contractors, design team, timing. We had an issue with missing carpet from the design center, was known since pre-drywall and was not resolved till 3-weeks before closing. Communication between sales/construction/design seems non-existent. Any issues we've had, have been addressed. We had an independent inspection done, sloppy work with drywall and stucco. Asked to repair and they will say that's the way it's done. I would say Shea is above average. Have heardmany worse stories from other builders.",4,4,4,4,4
Lots of technology,Troy S.,Yes,2023-06-01,"Wickenburg, AZ",Great care and responsiveness to questions,4,4,4,4,4
Trilogy @ Rio Verde,Mitchell I.,Yes,2023-05-31,"Rio Verde, AZ","Our overall experience with Shea was very positive! Matt our sales person is a tremendous asset to Shea! We had a wonderful experience with our field supervisor, Jason. AND would build an home with Jason again, should the opportunity present itself!! Our warranty specialist, Lala has been tremendous to work with also. The biggest issues we had was during our design center consultation and issues that arose from that process. Outlets were added when they were not needed for low voltage, tile flooring was not ordered to finish the covered patio space to match the home, bathroom faucets choicewas not made originally and our back patio was lowered prior to build to allow for thicker stone when we already had decided to use porcelain tile with the landscaper. I will say that the process at the time was pretty smooth…just did not understand what it meant when our designer was new to Verde River, but not to Shea. Turnover happens and most of our issues have a positive side to them as well. Overall, A+ and we want to thank everyone to make this long distance build possible without many headaches at all!!",4,3,5,3,5
Review of Trilogy sunstone home,Starr H.,Yes,2023-05-30,"Las Vegas, NV",Too early to tell on a lot of this.,4,4,4,4,4
Home buying experience,Robert H.,Yes,2023-05-27,"Indio, CA","Mike was great to work with and very responsive thru out the entire Sales process. .Debbie in the Design Center was also the same and our only complaint was that the price of upgrades seemed very high and their lack of flexibility in making simple changes ie deleting a medicine cabinet before the house was even framed. The superintendent, Ryan was fantastic and extremely proud of the work that he and the crew did! Lastly Richard in customer service could not be nicer and extremely responsive and professional. A very good team!!",4,4,5,3,5
We are pleased with our Shea home,Ken C.,Yes,2023-05-16,"Front Royal, VA",Overall good communications and progress reports. Overall good quality of materials and construction.,4,4,4,4,4
Very friendly staff,Cesar H.,Yes,2023-05-06,"Littleton, CO","Compared to other new builds. The quality for price is outstanding. We haven't encountered many issues with the house, and the few we have were corrected quickly by Shea's warranty department.",4,5,5,4,5
My wife and I bought this home from Shea and we are very happy with our choice,Arthur F.,Yes,2023-04-28,"Humble, TX",Shea built a quality home with added great features. Their sales staff is very responsive and their workmanship is high quality.,4,3,5,5,4
Great process just a little slow.,William H.,Yes,2023-04-20,"Wickenburg, AZ","Lots of help from Donnie, Andrew, and Adam. Great to work with. It took a lot longer than we thought, but now that we have moved in we are very happy with the house and the community.",4,4,5,4,5
Overall good experience and follow up,David S.,Yes,2023-04-19,"Wickenburg, AZ",All Shea employees are great to work with,4,4,4,4,5
Positive experience,Anonymous,Yes,2023-04-18,"Manvel, TX","We were out of state when we bought our house so we had some apprehension about the whole process. But Jane was there to help guide us through it. She worked closely with our realtor throughout the process. As the build phase wound down, we started working more with Mike the build manager. He was very responsive and understanding throughout the process. We don't think the house would've come out as nice without his leadership. We did have several known problems going into closing that were a pain to get resolved since we had to let people into the house we now owned. We had to deal withthe trades. I know there's a lot to juggle but these things should've been handled earlier. All in all the process went great and we'd do it again.",4,4,4,5,5
Great Home,Anonymous,Yes,2023-03-28,"Katy, TX",The wait was worth it. Shea Home actually uses good building materials for their construction. We've had 2 neighbors from other builders compare their building structures to what we have and they both confirmed the quality.,4,5,4,4,5
Wonderful Community,Larry C.,Yes,2023-03-22,"Nipomo, CA",All service personnel have been very responsive. It is a pleasant experience dealing with Shea.,4,5,5,4,5
"Good, but Opportunities Missed to be Great",Donna V.,Yes,2023-03-15,"OCALA, FL","Shea has a reputation for quality and, for most items, the quality is obvious. For other times, Shea falls short. For example, one towel bar in each bath and no hand towel ring. This is a half million+ dollar home. Framed mirrors versus a single sheet - another example. It's the end finishes that homeowners ""see"" that should be better thought through. Suggestion: Spend about $1000 more to include finishes that will make the home sparkle. Communication is good from all departments - realtor, crew, and warranty. It's a solid home. Struggled with an ADA issue that should have beenhandled better. It was not honored. I do recommend Shea Homes, but with the understanding that some finishes and ADA needs be taken seriously.",4,4,4,4,4
"Good product, needs some fine-tuning to be great.",Leanne S.,Yes,2023-03-01,"Denver, NC","Purchase experience was generally smooth. Lots of positive interaction with Sonja throughout the process. Larry, on the finance end was good, too. Brad, the GC has been fantastic, Caroline as our liaison, too. Some head-scratchers regarding appliances not working properly from day-one. The ""cleaning"" and ""punchlist"" crews seemed to make more messes than they corrected between walk through & closing. Lots of painting splatter needing work",4,4,5,4,4
Good experience,Reese J.,Yes,2023-02-24,"Las Vegas, NV","Nice quality home. Closing was rushed, before they could finish there things. Disappointed in the quality of carpet. Overall good service and beautiful new home.",4,4,4,4,4
Awesome experience except...,Michelle L.,Yes,2023-02-24,"Seaside, CA","It has been a great experience purchasing my Shea home. Everyone we've met from the sales office to the service team is very professional and helpful, except for Michele in the Design office (I believe she is a VP of some sort), who told me to rethink if this is the right home for me when I requested some minor design changes during the design phase.",4,3,5,4,5
Shea Homes experience,Dennis L.,Yes,2023-02-22,"Front Royal, VA",The effort made by Shea Homes has been exceptional! The Field Manager (Michael ) kept us abreast of progress on a weekly basis once ground was broken and the Warranty Manager ( Laura )was very affective at addressing any issues that surfaced post delivery. Once your in your home you realize your neighbors are all very friendly & happy! You can't go wrong with Shea Homes at Trilogy!,4,4,5,4,5
This field is listed as optional.,Anonymous,Yes,2023-02-20,"Littleton, CO","Overall my experience was very good. The teams were responsive during the build process. After move-in, I sometimes feel that my warranty rep and I are not communicating the best, but I still have the 5 and 11 month visits to make sure everything gets worked out.",4,5,5,4,4
Overall great experience,Anonymous,Yes,2023-02-17,"Katy, TX","No major issue with the home buying process,",4,4,5,5,5
floor plan is so good,Huihuang X.,Yes,2023-02-16,"Irvine, CA",floor plan is so good,4,4,5,4,4
Rushed completion and no changes allowed,Anonymous,Yes,2023-02-16,"Littleton, CO","I appreciated the professionalism of the staff throughout our home buying process. I felt comfortable discussing issues that arise and confident that they would be resolved. I did not like that we had to had to do our walkthrough and close on our purchase before everything was completed. There are many issues we found after we’ve moved in that we now have to address through the warranty department. It’s frustrating having to book appointments and take time off work to handle these issues. Additionally, there were minor changes we wished Shea had offered like adding or moving outlets orputting in a regular bathroom door that are difficult and expensive to make after construction. Considering how much this house cost, this makes the value for the price paid significantly lower.",4,5,4,3,5
asdfasdfasd,Anonymous,Yes,2023-02-10,"Marina, CA","Shea was very responsive at every step of the way. We are very happy with our home. In full transparency, there were a few workmanship issues with the house (expected for houses being built at this scale), but Shea's customer service and warranty quickly addressed any issues and continue to follow up proactively.",4,4,5,3,5
"Me, myself and I",Anonymous,Yes,2023-02-07,"Marina, CA","Two of the big benefits of this home is that it is a smart home with every appliance connected and controlled via the internet and gas solar electricity with an EV plug for charging. It is easy to open the front door remotely, turn on lights, view security cameras, cycle the water heater for instant hot water, turn on the heat upstairs and downstairs and gave packages delivered from Amazon right into the garage via automated garage door access.",4,5,5,4,5
I thought this was optional,Robert R.,Yes,2023-02-03,"OCALA, FL","Everything was fine, no issues",4,4,4,4,4
New Home in the Desert,Anonymous,Yes,2023-02-02,"Indio, CA","We love our new home, but defenitley were surprised at the items we needed to do when moving in. When designing your home, be aware of upgrades that don't include basic items like towel bars in the bathroom, tile & granite not sealed by builder. We expect some items needing attention, but did not expect to have to do projects the week we arrived.",4,4,4,4,4
Our experience with Shea Lake Frederick,Earl B.,Yes,2023-01-31,"Front Royal, VA","Our experience with Frank in sales was very good. We had a bump in the road and Frank quickly found a solution. We had a change in project managers and both were very nice. Seth ended up being our PM and we were very happy with him. He kept us informed, sent pictures of progress and the house was always clean when we came to see it. The only thing I can see room for improvement is using teams. I had never used it and could have used some guidance. Also, it seems like there is a disconnect with the app and online version. Things weren’t always answered in a timely fashion because of this.",4,4,4,4,4
Good quality building,Rajeshekar S.,Yes,2023-01-31,"Tracy, CA","Home buying experience is smooth , quality is good .houses are expensive for the space and size",4,5,5,3,5
hitech homes,Arvind S.,Yes,2023-01-31,"Tracy, CA",Great value for money homes,4,4,4,4,4
Nothing,Hitoshi T.,Yes,2023-01-28,"Marina, CA",We are very satisfied with Shea Home through wonderful customer services,4,4,5,4,5
Building supervisor Jason,John F.,Yes,2023-01-24,"Rio Verde, AZ","Jason when out of his way to answer questions, guide us on issues we were having and making us feel comfortable about decisions. The area that needs work is the design center. Our designer did not offer alternatives or give suggestions or give the pros and cons of various materials. When it came to designing the lighting and placement of outlets etc., she was no help at all. There are many things I would have done differently if I had known there was a choice.",4,4,4,4,4
Worth it in the end,Nathan L.,Yes,2023-01-06,"Phoenix, AZ",While I can’t compare to another home I’ve built because this was our first new build we are happy with the home Shea built us. The process itself was a little more difficult because we bought during Covid. We had to make design center selections in one day so it was rushed. The other thing that sucked was b/c Covid slowed things down our models weren’t open when we purchased so we didn’t get to see some design center options they ended up installing in the models which probably would have changed our choices on some things. We’re happy with our purchase but I don’t know if I’d build a newhome again as it’s a daunting process end to end. Parts were fun and obviously new is nice but it’s not for the inpatient.,4,4,4,4,4
Painless downsizing,Sylvia G.,Yes,2023-01-06,"Camarillo, CA","I was out of my element, having never bought a home by myself. It was an orderly transition, with help available when needed.",4,4,4,4,4
New home woes and support,Brian S.,Yes,2022-12-27,"Wickenburg, AZ","First, I have bought 5 new homes, I will say that we love this home in general, but our beginning has been rough. Deanna was a great person to work with on the front end. House wasn't delivered clean, some things out of Shea control... type of insulation, garage door opener downgrade, dented fridge, no washer/dryer (have loaners). Busted kitchen cabinet, broken tiles all through kidtcen, also in master shower. Flooring issues, window blind too small, many little touch things that should have been done prior to delivery. Then to top it off, broken cable line, so we had zero internet/tvfor first two weeks. The good news is that our long punch list is being worked on now, Adam has been an amazing help and overall the staff is very supportive. Biggest disappointment would have to be the tile issues, but other than that, it will eventually be a wonderful home!",4,3,4,4,5
"Good People, Rough Start",Anonymous,Yes,2022-12-27,"Kuna, ID","Being at the beginning of a new community build has alot of kinks to work out. Fortunately, BreAnn and my Project Manager Will, along with my Warrantee person, Gus have been easy to work with and responsive. Along with many supply shortages, there have been significant shortages in Skilled labor which has caused delay and less than desirable end results with certain trades. Will and Breann and GUS (he's a GEM) have worked hard to remedy various issues.",4,3,5,4,5
Staff are very helpful,Judith G.,Yes,2022-12-27,"Indio, CA",90% of everything in our new home went well. The tile and closets subs should have done a better job.,4,4,5,3,4
Warranty Team,Ricky-Jo B.,Yes,2022-12-21,"San Tan Valley, AZ",The whole team has been very responsive to any issues we have had with our new home. Even small issues that arise they treat them as a big deal and are quick to respond.,4,5,5,3,5
Very nice home and great community.,Mark R.,Yes,2022-12-21,"Bonney Lake, WA","Very beautiful home and community. Construction in general is high quality, and design of the home is well laid out, Energy efficient systems and automatic /wireless options are working well and convenient. Shea did well at keeping me apprised of construction progress and held to the promised dates for the construction steps. i rated responsiveness as a three as the warranty service processes seems to have some gaps that allow for concerns to fall through. One gap is that a service request disappeared after being acknowledged. the second is that i twice received letters saying that theservice had been completed when it had not. I rated quality of workmanship as a four as i have found two problems with the electrical wiring. One was a dryer plugin wired incorrectly, the second was a ground wire left loosely connected that caused loss of power to the living room.",4,4,5,5,3
Happy homebuyer,Anonymous,Yes,2022-12-13,"Castle Rock, CO",We are happy to do bussiness with Sbea,4,4,4,4,5
Overall a good experience with Shea.,Gary C.,Yes,2022-12-08,"Littleton, CO",Shea has been very responsive to issues. The quality of the home is very good.,4,4,5,3,5
Good experience- few things to be great.,Kenneth S.,Yes,2022-12-02,"Rio Verde, AZ","The positives. Shea builds a good home, and their staff is friendly and largely helpful. Issues encountered along the way in construction and close inspection were addressed timely. My issues have mostly been around post close items. The landscaper (TLB) didn’t follow up per 30 day. It took repeated outreaches to get them scheduled to resolve issues, and they’re still not fully addressed, and communication is very poor. Overall, I’d recommend others to Shea, but Shea should utilize their leverage with TLB to ensure the full experience is positive.",4,4,5,4,4
Dave and Frankie have been real assets to this process. I had a problem with the garage door opening on it’s own that posed security concerns. The vendor had to come twice before they replaced it totally.,John C.,Yes,2022-12-01,"Bonney Lake, WA",The process was fairly well orchestrated throughout the months it took to complete. There were problems encountered outside the builder’s control that could have been better communicated but the overall experience was a good one with very positive results.,4,4,5,5,4
My experience.,Scott M.,Yes,2022-11-30,"Rio Verde, AZ","My superintendent, Ryan, that worked with me during the project was triple A. He was all over everything and should be commended. 3 disappointments. 1) Quality of actual paint should be upgraded. Pulls off with blue tape, feels cheap. 2)This is our 2nd Shea House in 2 years. We built in the Canyons in Colorado. Better trades in Colorado than AZ. Cleaner workmanship. Oh well. Our 2nd bath, bath tubs, weren't covered during construction with cardboard and got scratched in Colorado. We warned Trilogy VR super of same possibility and got deaf ears. Scratches again, difficult to fix.Unnecessarily annoying. This was our 10th new build and have experienced this before. Seems like a simple fix to me. 3) We used your pool guy CalPools. Pool, hot tub, fire pit, outdoor grill. Nobody recommended to upgrade propane tank size. Our first pool. I learned our 120 gallon tank is filled to only 95 gallons. Pool heater burns 6 gallons per hour according to AZ Gas . The math doesn’t work well. We ran out of gas after turning on heater for pool for what seemed like 6-8 hours. Big surprise. Somebody from Shea Sales, or initial Shea construction meeting, or Shea landscape meeting, should have pointed this out to us. Now I have to tear up the landscaped front yard and deal with all sorts of companies to get this approved and remodeled. Now I am at the mercy of their pricing and owning an extra 120 gallon propane tank. Frankly, it is borderline unexcusable considering how many pools Shea has been involved with. Overall very pleased with house and Lala is doing her best to take care of warranty issues. The Shea landscaper did above average job, but has been very cooperative and accommodating since we moved in. Love the appreciation. Do the right thing and share the cost with the Pickleball Club and build some desperately needed extra courts. Embrace the opportunity to get some very good press about building more courts. Don't risk the potential for bad press if you don't help the club with more courts. It could get ugly for you. Turn this opportunity to a positive so you can crow about how Shea has recognized how big this sport has become for their Trilogy residents. Don't let the opposite happen. The sport has become huge for this demographic. We already have club state champions!",4,4,5,5,5
Shea Grove in Camarillo,Donald M.,Yes,2022-11-29,"Camarillo, CA",The ladies in the office were extremely pleasant and very helpful. They gave us and continue to give us lots of useful information.,4,4,5,4,4
Overall a very positive experience. Once warranty work is completed we will be 100% satisfied.,Timothy M.,Yes,2022-11-23,"Conroe, TX","SalesPerson David was awesome. Did above and beyond what was in his control. Represented Shea very well. Love the home, specifically the layout.",4,4,5,4,3
"I purchased a spec home which included most, but not all, of what I wanted in a new home.",Bonnie H.,Yes,2022-11-16,"Denver, NC",The purchase was a seamless process and all Shea representatives were helpful and responsive to any questions I had. Now that I am in my home the onsite team has been equally responsive and helpful in taking care of any tweaks that have come up.,4,4,4,4,5
Good experience,Staci M.,Yes,2022-11-15,"Denver, NC",Buying process was a little difficult due to communication. The Teams app is not a good communication device. Too slow and lag time for response was slow. And responses were short and lacked detail. More detail of the interior progress would have been greatly appreciated. Just front lics of the exterior were not adequate.,4,5,5,4,3
So many wonderful things to celebrate at Trilogy,Caron T.,Yes,2022-11-01,"Rio Verde, AZ","My home buying/building experience at Verde River was long, sometimes arduous, and because it took so long interest rates went up several points in the interim. This was very upsetting to me. It was not what I’d originally signed up for. Happily, I do love my new home. It’s lovely, excellent quality, and the Shea employees from A to Z couldn’t be nicer or more helpful. The area is beautiful, the club is wonderful, and my house is now feeling like my home.",4,4,5,4,5
Happy Homebuyer,Patrice C.,Yes,2022-11-01,"Manvel, TX",Shae was great with keeping my husband and I updated during the home building process. We purchase during Covid and there were a lot of delays due to Covid delays. The construction manager was an angel and very responsive every time we sent a question or concern. Very happy with our builder choice!!! We love our new home!,4,4,4,4,5
"Owen, Owen, Owen, Owen, Owen.",Tom M.,Yes,2022-11-01,"Peoria, AZ","Owen was awesome to work with from the sales side. We built during a very difficult time for everyone, so I do understand the delays we went through.",4,4,5,4,5
Homeowner,Stephen P.,Yes,2022-10-26,"El Cajon, CA","Had a great experience with Shea overall at the direct level. However, had I hired some of the subcontractors myself outside of costs being part of the mortgage — including those who did the blinds (sloppy work), solar/Sdge (still trying to setup), or misnamed “white glove” service (just a bizarre lack of quality service) — I would have moved on long ago and found better service providers. Two months in, I still can’t get a few things completed that should be off the list of to-dos. These annoyances, and I hate to say it, ultimately fall back on Shea Homes — who has otherwise been fantastic.Overall, the important things are more than great. The annoyance level grievances are just an honest assessment of things a new homeowner, in a perfect world, should not have to waste so much time dealing with and Shea Homes should be more discerning/on-top-of their subcontractors on behalf of their new homeowners.",4,5,5,5,2
Good Experience,Omar M.,Yes,2022-10-12,"Placentia, CA","Jacqui and Mae were great, easy to work with, and informative every step of the way. This is our second time buying a Shea home. We hope there aren't too many physical issues with the home like we had last time, and that if any, they'll be taken care of within the warranty timeframe.",4,4,4,4,4
