title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Love the new house in Bickford Ranch,Paul B.,Yes,2025-08-06,"Lincoln, CA",Trilogy at Bickford ranch has a great location on top of a hill. You get the feeling you are out in the country surrounded by open areas. We have all the amenities within a few miles. Come and look for yourself. The people are great.,5,5,5,5,5
Buying a Shea Home Exceeded our Expectations,Anonymous,Yes,2025-07-30,"San Tan Valley, AZ","Meeting Linda and Destiny in the Shea center was a great and helpful start for the entire experience. They were patient, informative, and always available. We loved the design of the homes, the extra care given to building materials, and the quality of the home compared with the many other builders that we toured. People always talk about their ""dream home"" - and we feel like we finally found ours.",5,5,5,5,5
Miss,Yu S.,Yes,2025-07-29,"Encinitas, CA",Shea Homes sales representatives are exceptional. They are professional and efficient. My emails and text messages are always responded within minutes. Their customer service team is super helpful as well. It ensured a smooth and pleasant purchase and move-in process. The quality and technology included in my new home are advanced. Shea Homes also provided complimentary white glove services to setup each systems. I believe this new property has great potential in value.,5,5,5,5,5
Everyone was very responsive,Steve K.,Yes,2025-07-29,"San Tan Valley, AZ",We are very pleased with our home and the Shea homes staff.,5,5,5,5,5
"Fantastic Home, Well Built, Excellent After Sales Service!",Thomas M.,Yes,2025-07-28,"Castle Rock, CO","We recently built a Stonehaven in the Canyons. James was our Field Supervisor and Jill is our warranty specialist. James has great attention to detail and even one of the Douglas County housing inspectors told me : ""this team at the Canyons builds some of the best homes I've ever seen"". The fellow from CDI (a free Shea service) got all our locks, garage doors, HVAC, and light dimmers talking to one another, loaded them on our phones, and connected to Alexa. At our one month warranty check in , Jill got the 3 minor issues we had resolved quickly. We love our house, our neighbors are great andShea is so well organized and professional.",5,5,5,5,5
Excellent quality and attentive service from start to finish,Ying-ching T.,Yes,2025-07-27,"Peoria, AZ","We had a fantastic experience with Shea Homes. The quality of the home is outstanding—every detail was thoughtfully designed and precisely executed. From materials to finishes, you can really feel the craftsmanship. What impressed us even more was their responsiveness after the closing. The warranty team is professional, friendly, and truly committed to making sure everything is just right. It’s clear Shea cares not just about building great homes, but also about taking care of their homeowners long-term. Highly recommended!",5,5,5,5,5
"Top notch sales, construction and post-construction warranty staff",William M.,Yes,2025-07-08,"Front Royal, VA","Troy, Kristine and Laura have done a great job in quickly responding to and addressing issues that arose once we moved in. Tremendous, timely response and resolution of those issues.",5,5,5,5,5
Encanterra Good Life,Laura S.,Yes,2025-07-03,"San Tan Valley, AZ",We built our forever retirement house starting last fall and moved in two months ago. Every representative of Shea has been very professional and responsive. Our third party home inspector said this was a very well built home. We have had no issues beyond a few minor cosmetic things and those were quickly resolved. We highly recommend Shea and Encanterra.,5,5,5,5,5
From start to finish was excellent,Trevor T.,Yes,2025-07-02,"Denver, NC",Thanks to Courtney and Brad for making this such a terrific experience. Total quality and class all around.,5,5,5,5,5
Brandon in Customer Care was superb and I cannot say enough positive things about my experience with Shea Homes.,Benita O.,Yes,2025-07-01,"Conroe, TX","My experience with Kim as the Sales Consultant and Joel, Jorge in Construction was excellent. Brandon in Customer Care was superb. I cannot say enough positive things about Shea. Their commitment to homeowners is second to none!",5,5,5,5,5
